Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1983-01-31,45.38,48.67,45.15,48.37,0
1983-02-28,48.07,51.79,47.52,51.26,0
1983-03-31,51.61,60.24,51.61,60.24,0
1983-04-30,60.02,61.71,57.19,57.2,0
1983-05-31,56.88,59.84,56.35,57.24,0
1983-06-30,56.34,64.19,56.34,64.01,0
1983-07-31,64.11,67.08,62.83,66.06,0
1983-08-31,65.44,66.8,63.22,63.79,0
1983-09-30,64.16,67.13,63.78,66.96,0
1983-10-31,66.45,67.75,64.09,64.14,0
1983-11-30,63.52,69.45,62.72,69.45,0
1983-12-31,69.47,73.22,69.05,73.22,0
1984-01-31,75.57,86.5,75.57,85.87,0
1984-02-29,87.11,87.11,74.5,77.17,0
1984-03-31,76.15,78.11,74.61,77.32,0
1984-04-30,78.02,78.02,73.72,74.96,0
1984-05-31,74.51,77.14,69.46,69.46,0
1984-06-30,70.33,71.85,66.96,71.09,0
1984-07-31,70.87,71.97,65.04,67.88,0
1984-08-31,68.63,76.4,68.63,75.55,0
1984-09-30,76.06,81.48,75.51,80.97,0
1984-10-31,79.93,84.94,79.28,84,0
1984-11-30,84.1,84.1,79.94,82.89,0
1984-12-31,83.48,85.81,82.41,85.75,0
1985-01-31,88.22,91.02,85.99,90.4,0
1985-02-28,90.36,94.64,89.43,92.42,0
1985-03-31,93.89,97.3,93.73,93.73,0
1985-04-30,93.5,95.79,93.48,95.19,0
1985-05-31,95.42,95.56,93.03,94.43,0
1985-06-30,95.61,96.41,93.64,95.29,0
1985-07-31,95.77,100.55,95.77,99.49,0
1985-08-31,100.47,100.68,97.74,100.14,0
1985-09-30,100.74,101.35,96.87,98.62,0
1985-10-31,98.41,103.25,95.8,103.25,0
1985-11-30,103.77,112.42,103.77,112.42,0
1985-12-31,110.94,121.5,109.62,121.5,0
1986-01-31,121.22,126.5,117.77,119.53,0
1986-02-28,121.25,122.5,111.84,112.4,0
1986-03-31,111.3,122.43,111.3,122.43,0
1986-04-30,124.17,125.98,118.41,120.12,0
1986-05-31,118.83,127.7,113.94,126.14,0
1986-06-30,126.59,126.59,123.62,123.63,0
1986-07-31,122.49,125.02,117.69,119.01,0
1986-08-31,120.13,125.83,119.05,120.43,0
1986-09-30,122.51,125.28,113.41,115.25,0
1986-10-31,116.55,117.72,112.12,116.06,0
1986-11-30,116.43,119.41,115.02,118.99,0
1986-12-31,117.86,120.02,114.69,114.69,0
1987-01-31,114.66,114.82,103.1,106.75,0
1987-02-28,105.74,107.99,103.82,106.16,0
1987-03-31,106.76,110.62,104.9,109.62,0
1987-04-30,110,116.17,108.47,109.67,0
1987-05-31,109.31,111.97,108.4,109.15,0
1987-06-30,109.25,117.91,107.74,117.56,0
1987-07-31,116.39,124.67,116.39,124.14,0
1987-08-31,122.65,129.8,122.65,123.57,0
1987-09-30,124.7,124.7,118.86,121.3,0
1987-10-31,121.67,122.01,83.04,87.91,0
1987-11-30,85.45,85.45,69.14,72.27,0
1987-12-31,74.54,81.31,71.94,77.87,0
1988-01-31,76.82,82.18,76.17,79.94,0
1988-02-29,81.05,87.58,79.26,87.58,0
1988-03-31,88.78,96.8,88.78,91.48,0
1988-04-30,93.13,97.29,93.13,94.85,0
1988-05-31,93.96,94.45,89.19,93.56,0
1988-06-30,94.54,104.57,94.12,104.57,0
1988-07-31,104.79,109.34,104.73,109.34,0
1988-08-31,110.41,112.81,103.39,104.79,0
1988-09-30,103.32,109.63,103.32,109.63,0
1988-10-31,108.49,113.29,108.49,112.84,0
1988-11-30,113.16,113.16,105.98,109.17,0
1988-12-31,108.54,117.68,108.23,117.68,0
1989-01-31,119.53,122.93,118.06,120.88,0
1989-02-28,120.33,123.85,119.42,119.69,0
1989-03-31,120.77,127.11,120.21,127.11,0
1989-04-30,128.24,137.19,128.07,137.19,0
1989-05-31,132.34,136.07,130.49,134.55,0
1989-06-30,135.79,143.61,135.79,139.38,0
1989-07-31,139.97,144.21,138.38,143.91,0
1989-08-31,144.79,149.04,140.46,142.39,0
1989-09-30,141.63,145.97,141.03,142.1,0
1989-10-31,140.94,143.9,129.1,131.69,0
1989-11-30,132.34,133.33,126.84,133.33,0
1989-12-31,134.72,136.67,131.29,136.59,0
1990-01-31,136.52,138.24,125.81,127.39,0
1990-02-28,128.04,129.27,118.01,120.47,0
1990-03-31,119.33,131.04,119.33,131.04,0
1990-04-30,128.74,133.62,127.53,127.53,0
1990-05-31,127.21,131.34,126.55,131.07,0
1990-06-30,131.81,132.94,129.59,132.76,0
1990-07-31,132.74,133.27,128.76,129.19,0
1990-08-31,128.89,128.89,108.09,112.81,0
1990-09-30,112.24,115.85,102.25,102.25,0
1990-10-31,104.54,108.14,102.17,105.36,0
1990-11-30,103.03,106.16,101.74,103.96,0
1990-12-31,105.59,107.73,104.01,104.01,0
1991-01-31,103.33,106.23,98.75,106.12,0
1991-02-28,105.6,117.27,105.6,116.77,0
1991-03-31,116.15,126.28,116.15,126.28,0
1991-04-30,126.72,130.03,125.99,127.11,0
1991-05-31,127.26,128.31,122.82,128.01,0
1991-06-30,128.22,128.82,124.53,124.53,0
1991-07-31,125.38,127.28,123.39,126.84,0
1991-08-31,127.53,127.53,121.23,126.25,0
1991-09-30,126.6,127.57,123.31,123.31,0
1991-10-31,123.87,125.36,121.45,124.25,0
1991-11-30,124.09,129.44,123.38,124.6,0
1991-12-31,123.41,125.72,122.01,125.72,0
1992-01-31,126.99,133.76,126.09,133.76,0
1992-02-29,134.09,138.66,133.65,138.66,0
1992-03-31,138.38,140.26,137.39,137.63,0
1992-04-30,137.32,142.75,136.91,142.75,0
1992-05-31,142.76,144.5,141.02,144.46,0
1992-06-30,143.72,144.56,137.3,137.3,0
1992-07-31,136.5,137.26,128.83,131.08,0
1992-08-31,131.85,133.55,123.45,126.03,0
1992-09-30,124.99,132.23,124.99,129.96,0
1992-10-31,129.69,129.69,124.05,124.05,0
1992-11-30,125.02,127.59,124.62,126.22,0
1992-12-31,126.9,130.83,125.98,129.71,0
1993-01-31,130.01,133.61,130.01,132.48,0
1993-02-28,133.62,138.78,133.28,138.78,0
1993-03-31,139.4,144.9,138.64,144.52,0
1993-04-30,143.78,147.51,142.5,142.5,0
1993-05-31,142.36,144.07,138.4,139.89,0
1993-06-30,138.74,147.36,138.74,147.12,0
1993-07-31,147.45,153.8,146.31,153.8,0
1993-08-31,152.84,165.94,152.84,165.94,0
1993-09-30,164.53,164.53,155.87,158.75,0
1993-10-31,159.63,174,159.63,174,0
1993-11-30,175.03,177.76,167.15,174.01,0
1993-12-31,175.34,189.57,175.34,187.99,0
1994-01-31,188.13,199.08,187.45,199.08,0
1994-02-28,199.86,199.98,187.99,190.93,0
1994-03-31,190.55,194.41,180.81,183.26,0
1994-04-30,181.18,194.41,181.09,187.44,0
1994-05-31,187.63,189.84,180.27,181.86,0
1994-06-30,182.75,185.15,169.93,174.04,0
1994-07-31,173.54,185.73,173.18,185.24,0
1994-08-31,185.5,192.95,184.84,190.33,0
1994-09-30,190.35,190.94,180.91,182.54,0
1994-10-31,181.87,188.48,176.04,187.24,0
1994-11-30,186.61,188.31,181.27,185.78,0
1994-12-31,185.73,190.11,183.25,188.08,0
1995-01-31,188.22,190.15,183.37,185.19,0
1995-02-28,185.97,189.16,184.56,185.03,0
1995-03-31,184.93,186.06,174.81,178.52,0
1995-04-30,177.6,189.44,177.36,189.18,0
1995-05-31,189.74,196.46,189.63,195.82,0
1995-06-30,198.07,198.62,195.04,196.21,0
1995-07-31,195.64,210.51,195.52,207.89,0
1995-08-31,207.6,211.53,207.08,207.95,0
1995-09-30,208.01,216.31,207.7,211.58,0
1995-10-31,211.38,211.52,200.95,205.82,0
1995-11-30,205.39,217.33,203.92,216.96,0
1995-12-31,217.1,220.91,212.29,220.24,0
1996-01-31,221.32,232.17,221.06,228.43,0
1996-02-29,228,234.09,225.14,232.89,0
1996-03-31,233.58,241.27,227.97,241.25,0
1996-04-30,241.68,252.55,241.68,251.67,0
1996-05-31,251.65,259.07,248.62,258.7,0
1996-06-30,258.45,259.79,250.25,254.27,0
1996-07-31,254.55,256.2,230.89,243.1,0
1996-08-31,244.43,258.32,242.3,250.03,0
1996-09-30,250.8,261.81,247.9,261.81,0
1996-10-31,261.38,271.27,260.95,261.84,0
1996-11-30,263.57,286.43,263.37,286.36,0
1996-12-31,286.34,294.2,267.61,294.16,0
1997-01-31,290.29,311.3,287.16,306.61,0
1997-02-28,306.28,342.94,304.71,334.65,0
1997-03-31,334.15,353.5,317.89,336.25,0
1997-04-30,317.07,347.93,316.76,346.39,0
1997-05-31,350.98,369.91,348.61,358.93,0
1997-06-30,360.14,397.62,360.13,390.96,0
1997-07-31,394.89,456.62,393.37,446.22,0
1997-08-31,448.57,459.06,392.73,394.01,0
1997-09-30,395.57,432.87,385.07,417.48,0
1997-10-31,416.01,439.31,347.13,390.06,0
1997-11-30,396.21,409.22,380.75,400.11,0
1997-12-31,404.01,422.5,396.81,414.61,0
1998-01-31,420.22,434.87,401.78,434.1,0
1998-02-28,437.67,490.71,432.27,485.7,0
1998-03-31,485.98,520.06,477.67,511.15,0
1998-04-30,512.36,544.43,501.27,511.69,0
1998-05-31,533.24,556.55,515.41,543.86,0
1998-06-30,542.28,553.4,515.02,544.67,0
1998-07-31,548.29,600.65,548.29,557.85,0
1998-08-31,547.69,553.81,472.42,493.09,0
1998-09-30,472.19,502.43,401.68,423.9,0
1998-10-31,407.3,456.53,366.58,450.68,0
1998-11-30,459.13,519.39,458.03,499.44,0
1998-12-31,490.17,546.5,450.99,538.36,0
1999-01-31,545.54,587.51,497.63,532.09,0
1999-02-28,538.8,547.36,505.94,536.12,0
1999-03-31,536.14,551.28,511.17,536.93,0
1999-04-30,531.75,576.66,530.04,573.52,0
1999-05-31,571.82,583.8,540.79,554.06,0
1999-06-30,556.02,583.76,550.1,561.19,0
1999-07-31,570.58,596.15,543.16,552.77,0
1999-08-31,546.55,592.02,527.26,572.42,0
1999-09-30,573.05,595.73,546.11,547.45,0
1999-10-31,550.36,575.82,527.17,571.82,0
1999-11-30,571.79,615.38,564.04,602.11,0
1999-12-31,597.21,671.94,596.97,671.41,0
2000-01-31,677.15,686.33,609.96,612.38,0
2000-02-29,625.61,676.14,617.49,664.28,0
2000-03-31,673.88,691.66,641.83,662.29,0
2000-04-30,666.96,678.47,618.67,661.38,0
2000-05-31,668.24,677.95,635.76,655.5,0
2000-06-30,664.69,689.61,661.46,672.14,0
2000-07-31,674.49,692.23,662.74,668.18,0
2000-08-31,668.95,700.28,666.52,689.52,0
2000-09-30,698.43,703.18,639.72,661.52,0
2000-10-31,659.75,682.61,619.82,680.56,0
2000-11-30,685.44,692.18,647.11,649.92,0
2000-12-31,654.27,670.67,610.99,637.6,0
2001-01-31,636.24,647.05,620.42,639.98,0
2001-02-28,636.82,638.27,583.4,597.33,0
2001-03-31,593.22,601.24,512.45,558.6,0
2001-04-30,562.88,595.6,524.22,593.09,0
2001-05-31,597.12,609.22,574.71,585.15,0
2001-06-30,581.1,592.36,547.2,573.5,0
2001-07-31,572.36,581.4,523.43,548.72,0
2001-08-31,547.38,559,515.09,523.63,0
2001-09-30,523.91,523.91,378.36,453.87,0
2001-10-31,452.31,485.32,426,460.33,0
2001-11-30,461.33,512.31,453.34,492.67,0
2001-12-31,489.76,512.56,473.07,506.78,0
2002-01-31,503.41,510.04,485.35,500.92,0
2002-02-28,502.13,504.55,475.19,494.91,0
2002-03-31,492.21,531.21,492.1,531.21,0
2002-04-30,528.6,531.45,503.38,511.28,0
