Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1971-01-31,1.8682,1.869,1.8614,1.8619
1971-02-28,1.8624,1.8647,1.8614,1.8647
1971-03-31,1.8629,1.8633,1.8612,1.8612
1971-04-30,1.8612,1.8678,1.8611,1.8625
1971-05-31,1.8615,1.8615,1.7954,1.8195
1971-06-30,1.8297,1.8297,1.7922,1.7932
1971-07-31,1.794,1.7953,1.774,1.7743
1971-08-31,1.7746,1.7746,1.7361,1.7426
1971-09-30,1.7417,1.7417,1.6977,1.7004
1971-10-31,1.7023,1.7118,1.6998,1.7118
1971-11-30,1.71,1.7169,1.6965,1.6979
1971-12-31,1.6941,1.6941,1.6663,1.6762
1972-01-31,1.6774,1.6785,1.6446,1.6459
1972-02-29,1.6422,1.6425,1.6186,1.6315
1972-03-31,1.631,1.6809,1.6181,1.6245
1972-04-30,1.6242,1.6382,1.6242,1.6307
1972-05-31,1.6299,1.6339,1.6275,1.6285
1972-06-30,1.6284,1.6363,1.6125,1.6155
1972-07-31,1.6154,1.6283,1.6153,1.6278
1972-08-31,1.6287,1.6401,1.6287,1.6363
1972-09-30,1.6356,1.6424,1.633,1.6424
1972-10-31,1.6469,1.6483,1.6392,1.6437
1972-11-30,1.6421,1.6456,1.6375,1.6375
1972-12-31,1.6354,1.643,1.6354,1.6418
1973-01-31,1.6435,1.648,1.6176,1.6176
1973-02-28,1.6153,1.6207,1.4531,1.4531
1973-03-31,1.4465,1.4575,1.4205,1.4575
1973-04-30,1.4634,1.4663,1.4477,1.4553
1973-05-31,1.4551,1.4628,1.3829,1.3829
1973-06-30,1.3737,1.3737,1.2461,1.2461
1973-07-31,1.23,1.2341,1.1601,1.1911
1973-08-31,1.1989,1.2721,1.1989,1.2621
1973-09-30,1.2587,1.2587,1.2249,1.2383
1973-10-31,1.2377,1.2553,1.2279,1.2546
1973-11-30,1.2574,1.3674,1.2543,1.3451
1973-12-31,1.3472,1.387,1.3466,1.387
1974-01-31,1.4142,1.4789,1.4107,1.4107
1974-02-28,1.42,1.42,1.3631,1.3714
1974-03-31,1.3759,1.3759,1.291,1.2987
1974-04-30,1.3047,1.3223,1.2565,1.2589
1974-05-31,1.2599,1.3088,1.2287,1.2936
1974-06-30,1.2886,1.3219,1.2702,1.3064
1974-07-31,1.3138,1.3266,1.2858,1.3196
1974-08-31,1.3201,1.3652,1.3175,1.3651
1974-09-30,1.3652,1.3714,1.3579,1.3612
1974-10-31,1.3566,1.3575,1.314,1.3223
1974-11-30,1.3165,1.3165,1.2501,1.2679
1974-12-31,1.2813,1.2819,1.23,1.2355
1975-01-31,1.2397,1.2397,1.1801,1.1997
1975-02-28,1.2079,1.2208,1.1678,1.1678
1975-03-31,1.1678,1.2071,1.1678,1.2031
1975-04-30,1.1983,1.2297,1.1983,1.22
1975-05-31,1.2194,1.2215,1.1952,1.2018
1975-06-30,1.2,1.2074,1.1946,1.2074
1975-07-31,1.2127,1.3171,1.2127,1.3168
1975-08-31,1.3171,1.3281,1.308,1.3237
1975-09-30,1.3239,1.3699,1.3202,1.3576
1975-10-31,1.3392,1.3494,1.3104,1.3114
1975-11-30,1.3097,1.3462,1.3097,1.3462
1975-12-31,1.3406,1.3533,1.3385,1.3433
1976-01-31,1.3426,1.3426,1.3274,1.3274
1976-02-29,1.3168,1.3209,1.2999,1.3171
1976-03-31,1.3223,1.3229,1.2968,1.3021
1976-04-30,1.2956,1.3054,1.2956,1.3004
1976-05-31,1.2995,1.3295,1.2984,1.3295
1976-06-30,1.3307,1.3307,1.3164,1.3205
1976-07-31,1.3216,1.3237,1.3038,1.3038
1976-08-31,1.3008,1.3061,1.2858,1.2962
1976-09-30,1.2935,1.2939,1.2486,1.2486
1976-10-31,1.2557,1.2611,1.2282,1.2305
1976-11-30,1.2359,1.2422,1.2308,1.2333
1976-12-31,1.2383,1.2383,1.2077,1.2102
1977-01-31,1.2017,1.2464,1.2017,1.2344
1977-02-28,1.2395,1.2422,1.2249,1.2249
1977-03-31,1.2267,1.23,1.2232,1.2258
1977-04-30,1.2267,1.2267,1.207,1.207
1977-05-31,1.2079,1.2166,1.2039,1.2096
1977-06-30,1.2085,1.2111,1.1997,1.2004
1977-07-31,1.2,1.2,1.1521,1.1745
1977-08-31,1.1793,1.1998,1.175,1.1886
1977-09-30,1.189,1.1952,1.1838,1.1838
1977-10-31,1.1751,1.1803,1.1543,1.1543
1977-11-30,1.1484,1.1595,1.1355,1.1395
1977-12-31,1.1351,1.1351,1.0756,1.0756
1978-01-31,1.0616,1.1039,1.0587,1.0829
1978-02-28,1.0847,1.0847,1.0338,1.0338
1978-03-31,1.0358,1.0564,1.0248,1.0248
1978-04-30,1.0294,1.0679,1.0294,1.0634
1978-05-31,1.062,1.094,1.0615,1.072
1978-06-30,1.0722,1.0746,1.0626,1.0626
1978-07-31,1.0606,1.0616,1.045,1.045
1978-08-31,1.0471,1.0471,0.9973,1.0196
1978-09-30,1.0147,1.0283,0.9917,0.9941
1978-10-31,0.9937,0.9937,0.8838,0.8994
1978-11-30,0.9537,0.9907,0.9537,0.9887
1978-12-31,0.9917,0.9917,0.9332,0.9332
1979-01-31,0.9345,0.9604,0.9345,0.9604
1979-02-28,0.9656,0.967,0.9434,0.9497
1979-03-31,0.9511,0.9576,0.9494,0.9576
1979-04-30,0.966,0.9771,0.9651,0.9737
1979-05-31,0.9719,0.9848,0.9719,0.9789
1979-06-30,0.9831,0.9833,0.942,0.942
1979-07-31,0.9443,0.9444,0.9257,0.9402
1979-08-31,0.9379,0.94,0.9346,0.9357
1979-09-30,0.935,0.935,0.893,0.893
1979-10-31,0.8917,0.9292,0.8917,0.9251
1979-11-30,0.9214,0.9214,0.8871,0.8871
1979-12-31,0.8758,0.8992,0.8758,0.885
1980-01-31,0.8786,0.8941,0.8759,0.8941
1980-02-29,0.8943,0.9112,0.8886,0.9112
1980-03-31,0.9142,1.0007,0.9142,1.0007
1980-04-30,1.0058,1.0127,0.9212,0.9229
1980-05-31,0.924,0.935,0.9037,0.9119
1980-06-30,0.9141,0.9141,0.9,0.9045
1980-07-31,0.9033,0.9129,0.8891,0.9129
1980-08-31,0.9195,0.9266,0.9069,0.9188
1980-09-30,0.9117,0.93,0.9106,0.9295
1980-10-31,0.9273,0.9773,0.9224,0.9773
1980-11-30,0.9824,1.0039,0.9706,0.9881
1980-12-31,0.995,1.0351,0.9945,1.0119
1981-01-31,1.0127,1.0932,0.9922,1.0932
1981-02-28,1.0875,1.1383,1.0748,1.0928
1981-03-31,1.1035,1.1037,1.0511,1.0823
1981-04-30,1.0755,1.1348,1.0755,1.1334
1981-05-31,1.1296,1.2031,1.1296,1.1947
1981-06-30,1.1973,1.2378,1.1973,1.2276
1981-07-31,1.2373,1.2697,1.2348,1.2671
1981-08-31,1.2957,1.3182,1.255,1.255
1981-09-30,1.2594,1.2594,1.1434,1.1921
1981-10-31,1.1912,1.1912,1.1232,1.1503
1981-11-30,1.1398,1.1583,1.1309,1.1352
1981-12-31,1.1404,1.1752,1.1373,1.1475
1982-01-31,1.1493,1.1989,1.1493,1.1878
1982-02-28,1.205,1.2301,1.2007,1.2244
1982-03-31,1.2242,1.2396,1.2014,1.2396
1982-04-30,1.2321,1.2432,1.1952,1.1952
1982-05-31,1.1991,1.2037,1.1701,1.2037
1982-06-30,1.2184,1.2784,1.2116,1.261
1982-07-31,1.2663,1.289,1.2285,1.2645
1982-08-31,1.2481,1.2937,1.2399,1.2803
1982-09-30,1.2774,1.304,1.2683,1.2967
1982-10-31,1.295,1.3131,1.2763,1.3127
1982-11-30,1.3087,1.3311,1.264,1.264
1982-12-31,1.2647,1.2707,1.2154,1.2194
1983-01-31,1.2173,1.264,1.1956,1.264
1983-02-28,1.2635,1.2791,1.2245,1.248
1983-03-31,1.2524,1.2524,1.221,1.2466
1983-04-30,1.2445,1.2648,1.2371,1.2648
1983-05-31,1.2621,1.2945,1.2487,1.2945
1983-06-30,1.3066,1.317,1.2931,1.3029
1983-07-31,1.303,1.358,1.303,1.358
1983-08-31,1.3738,1.4023,1.3478,1.3829
1983-09-30,1.3824,1.3824,1.3494,1.3494
1983-10-31,1.3449,1.3493,1.3164,1.3493
1983-11-30,1.3612,1.3922,1.3564,1.3839
1983-12-31,1.3854,1.4238,1.3854,1.3973
1984-01-31,1.4155,1.4561,1.4155,1.4443
1984-02-29,1.4317,1.4317,1.3323,1.3323
1984-03-31,1.3388,1.3572,1.3085,1.3302
1984-04-30,1.3322,1.3955,1.3322,1.3955
1984-05-31,1.3991,1.4262,1.3868,1.4008
1984-06-30,1.3765,1.4376,1.3671,1.4264
1984-07-31,1.4314,1.4902,1.4314,1.4902
1984-08-31,1.4963,1.4963,1.465,1.4815
1984-09-30,1.5025,1.604,1.5025,1.5751
1984-10-31,1.5698,1.6101,1.544,1.5539
1984-11-30,1.5327,1.5947,1.5022,1.5947
1984-12-31,1.5972,1.6178,1.5689,1.6178
1985-01-31,1.6271,1.6374,1.6103,1.6218
1985-02-28,1.6305,1.7704,1.6305,1.7147
1985-03-31,1.7199,1.7598,1.5808,1.5808
1985-04-30,1.5991,1.6295,1.5276,1.5887
1985-05-31,1.6147,1.652,1.5567,1.5686
1985-06-30,1.5604,1.5907,1.5485,1.5532
1985-07-31,1.5599,1.5618,1.4354,1.4354
1985-08-31,1.4474,1.4613,1.4062,1.4414
1985-09-30,1.4634,1.5182,1.3648,1.3737
1985-10-31,1.36,1.3767,1.343,1.343
1985-11-30,1.3343,1.3476,1.2884,1.2884
1985-12-31,1.293,1.3039,1.2546,1.2546
1986-01-31,1.2501,1.2653,1.2199,1.2245
1986-02-28,1.2312,1.2381,1.1394,1.144
1986-03-31,1.1386,1.2025,1.1287,1.2025
1986-04-30,1.2015,1.2289,1.1099,1.1101
1986-05-31,1.1305,1.1921,1.1148,1.1921
1986-06-30,1.1919,1.1919,1.1286,1.1286
1986-07-31,1.1158,1.1225,1.0735,1.0735
1986-08-31,1.0686,1.0717,1.0437,1.0437
1986-09-30,1.0419,1.0728,1.0204,1.0396
1986-10-31,1.0365,1.0568,1.0122,1.0568
1986-11-30,1.0583,1.0591,1.0117,1.0117
1986-12-31,1.0079,1.0355,0.9863,0.9863
1987-01-31,0.9835,0.9902,0.9163,0.9399
1987-02-28,0.9266,0.9516,0.922,0.9371
1987-03-31,0.9396,0.9593,0.924,0.924
1987-04-30,0.9339,0.9432,0.9143,0.9222
1987-05-31,0.9137,0.9353,0.907,0.9353
1987-06-30,0.9404,0.944,0.9184,0.9364
1987-07-31,0.9378,0.9565,0.9378,0.9532
1987-08-31,0.9561,0.973,0.9281,0.9285
1987-09-30,0.9297,0.9449,0.9192,0.9449
1987-10-31,0.947,0.947,0.8862,0.8862
1987-11-30,0.8782,0.8794,0.8411,0.8411
